keyword_id,name
capacitance,Capacitance
antenna feeds,Antenna feeds
equivalent circuit (ec),equivalent circuit (EC)
regulation,Regulation
games,Games
discrete-time (dt) multiagent systems (mass),Discrete-time (DT) multiagent systems (MASs)
reinforcement learning (rl),reinforcement learning (RL)
robust output regulation,robust output regulation
halide solid-state electrolytes,halide solid-state electrolytes
all-solid-state li-ion batteries,all-solid-state Li-ion batteries
density functional theory,Density functional theory
electrochemical windows,electrochemical windows
li-migration barrier,Li-migration barrier
fermi level,Fermi level
channel estimation,Channel estimation
dictionaries,Dictionaries
uplink,Uplink
transmission line matrix methods,Transmission line matrix methods
atoms,Atoms
extremely large-scale multiple-input and multiple-output (xl-mimo),extremely large-scale multiple-input and multiple-output (XL-MIMO)
particle size,particle size
powder,powder
synthesis mechanism,synthesis mechanism
tab2,TaB2
wettability,wettability
complex networks,complex networks
adaptive event-triggered control,Adaptive event-triggered control
pinning synchronization,Pinning synchronization
t-s fuzzy model,T-S fuzzy model
appearance anxiety,appearance anxiety
self-efficacy,Self-efficacy
self-esteem,self-esteem
boro,boro
carbothermal reduction,carbothermal reduction
sps,SPS
wb2,WB2
two dimensional sic siligraphene,two dimensional SiC siligraphene
anisotropic properties,anisotropic properties
multidimensional scale,multidimensional scale
local tangent space alignment,local tangent space alignment
mca decomposition,MCA decomposition
dictionary training,dictionary training
gpu,GPU
spark,Spark
data partition,Data Partition
model parallelism,Model Parallelism
customized bus,Customized bus
route design,Route design
passenger guidance,Passenger guidance
stochastic travel time,Stochastic travel time
newman algorithm,Newman algorithm
sensor attacks,sensor attacks
sensor fusion,sensor fusion
vehicle-following control,vehicle-following control
si3n4 ceramics,Si3N4 ceramics
joining,Joining
zrsi2-sic,ZrSi2-SiC
shear strength,Shear strength
approximation error,Approximation error
dead zone output,Dead zone output
periodic disturbances,periodic disturbances
unknown control direction,unknown control direction
e-commerce,E-commerce
crawler technology,Crawler technology
lucene engine,Lucene engine
crn additives,CrN additives
zno,ZnO
pt,Pt
au adsorption,Au adsorption
optical spectrum,Optical spectrum
conductivity,Conductivity
generalized hamilton-jacobi-bellman equation,Generalized Hamilton-Jacobi-Bellman equation
galerkin approximation,Galerkin approximation
chebyshev polynomials,Chebyshev polynomials
online sports videos,online sports videos
expectation-confirmation theory,expectation-confirmation theory
social presence,social presence
sic ceramics,SiC ceramics
zrc,ZrC
zrsi2-sic filler,ZrSi2-SiC filler
drug discovery,drug discovery
photosensitizer,photosensitizer
singlet oxygen,singlet oxygen
smiles-based interpretation,SMILES-based interpretation
sustainable campus energy,sustainable campus energy
student competency development,student competency development
educational digital twin platform,educational digital twin platform
carbon reduction,carbon reduction
ai-driven optimization,AI-driven optimization
student-centered sustainability education,student-centered sustainability education
chatgpt,ChatGPT
healthcare,Healthcare
digital media,Digital media
opportunities,Opportunities
challenges,Challenges
digital health,Digital health
generative artificial intelligence,Generative artificial intelligence
artificial intelligence generated content,Artificial Intelligence Generated Content
absorptive filtering antenna,absorptive filtering antenna
bandstop filter,bandstop filter
patch antenna,patch antenna
mimo antenna,MIMO antenna
uwb antenna,UWB antenna
diversity antenna,diversity antenna
p-acetaminophenol,P-acetaminophenol
four components,four components
kalman filtering spectrophotometry,Kalman filtering spectrophotometry
simultaneous determination,simultaneous determination
point correspondence,point correspondence
surface intersection,surface intersection
tracking method,tracking method
indoor navigation,indoor navigation
consensus tacking,Consensus tacking
intermediate estimator,Intermediate estimator
fault estimation,Fault estimation
bismuth vanadate,Bismuth vanadate
solar-photo-electro-fenton,Solar-photo-electro-Fenton
markerless,Markerless
ar application,AR Application
hololens,Hololens
graph,Graph
semi-supervised,Semi-supervised
spd matrix,SPD matrix
quantum dots,Quantum dots
ink,Ink
writing,Writing
perovskites,Perovskites
optical device fabrication,Optical device fabrication
displacement encoder,Displacement encoder
near-field direct writing,near-field direct writing
perovskite quantum dots (qds),perovskite quantum dots (QDs)
saturable absorber,Saturable absorber
bound soliton,Bound soliton
cuinse2 quantum dots,CuInSe2 quantum dots
generally uncertain transition rates,Generally uncertain transition rates
al polishing plate,Al polishing plate
mcc,MCC
process parameters,Process parameters
sc-gan,SC-GaN
alpha-mob2,alpha-MoB2
hydrogen evolution reaction,Hydrogen evolution reaction
low temperature sps sintering,low temperature SPS sintering
porous self-supported electrode,porous self-supported electrode
asynchronous sliding mode control (smc),Asynchronous sliding mode control (SMC)
event-triggered scheme (ets),event-triggered scheme (ETS)
markov jump neural networks (mjnns),Markov jump neural networks (MJNNs)
leader-following synchronization,leader-following synchronization
plasmon induced transparency,Plasmon induced transparency
fermi energy,Fermi energy
multiple switching effects,Multiple switching effects
design requirement,design requirement
graph embedding,Graph embedding
online user comments,online user comments
social network analysis,social network analysis
deferred time-varying state constraints,deferred time-varying state constraints
cyberattack,Cyberattack
consensus control,Consensus control
markov processes,Markov processes
denial-of-service attack,Denial-of-service attack
denial-of-service (dos) attacks,Denial-of-service (DoS) attacks
false data injection (fdi) attacks,false data injection (FDI) attacks
secure consensus control,secure consensus control
time-varying multiagent systems (mass),time-varying multiagent systems (MASs)
image stitching,image stitching
image registration,image registration
microscopic vision inspection,microscopic vision inspection
cnn regression,CNN regression
fp-growth algorithm,FP-Growth Algorithm
proton exchange membrane fuel cell,Proton exchange membrane fuel cell
methanol-steam-reforming,Methanol-steam-reforming
distributed cogeneration system,Distributed cogeneration system
carbon capture,Carbon capture
storage and utilization,storage and utilization
caching,Caching
routing,Routing
bandwidth allocation,Bandwidth Allocation
mec,MEC
submodular function,submodular function
gbls booster,GBLS Booster
soh estimation,SOH estimation
rul prediction,RUL prediction
health indicators,Health indicators
tree-structured parzen estimator,Tree-structured Parzen Estimator
kansei engineering,Kansei engineering
eye-tracking technology,eye-tracking technology
automotive interior,automotive interior
cmf,CMF
two-option online leasing,Two-option online leasing
competitive analysis,Competitive analysis
sharing economy,Sharing economy
feconi/rgo nanosheets,FeCoNi/rGO nanosheets
dielectric/magnetic losses,Dielectric/magnetic losses
microwave absorption performance,Microwave absorption performance
duopoly group,Duopoly group
game model,game model
price level,price level
ethernet,Ethernet
linux operating system,Linux operating system
8-scroll chua system,8-scroll Chua system
image chaotic communication,image chaotic communication
proximal operators,proximal operators
capped l(q)-norm,capped l(q)-norm
l(q)-norm,l(q)-norm
sparsity-promoting functions,sparsity-promoting functions
proximal gradient algorithms,proximal gradient algorithms
inference algorithms,Inference algorithms
quality of service,quality of service
sno2-co3o4-c composite,SnO2-Co3O4-C composite
ball milling,Ball milling
anode,Anode
multi-wall carbon nanotube,Multi-wall carbon nanotube
inactivation,Inactivation
photocatalysis,Photocatalysis
antibiotic-resistant pathogen,Antibiotic-resistant pathogen
conjugate gradient method,Conjugate gradient method
global convergence,global convergence
liquid-separation condensation,Liquid-separation condensation
experimental investigation,Experimental investigation
cogeneration,Cogeneration
supercritical co2 brayton cycle,Supercritical CO2 brayton cycle
thermal-economic analysis,Thermal-economic analysis
adsorption heat,Adsorption heat
internally cooled,Internally cooled
dehumidification device,Dehumidification device
dehumidification performance,Dehumidification performance
optimization prediction,Optimization prediction
state feedback,State Feedback
automation,automation
funnel control,Funnel control
output tracking,output tracking
uncertain nonlinear systems,uncertain nonlinear systems
unstabilizable linearization,unstabilizable linearization
disturbance observers,Disturbance observers
adaptive containment control,adaptive containment control
adding a power integrator,adding a power integrator
nonlinear multiagent systems (mass),nonlinear multiagent systems (MASs)
network topology,Network topology
distributed consensus,Distributed consensus
mixing matrix,mixing matrix
nonconvex optimization,nonconvex optimization
spectral radius,spectral radius
container placement,Container placement
container migration,Container migration
workload prediction,Workload prediction
cloud computing,cloud computing
migration cost,Migration cost
compounds,Compounds
radar tracking,Radar tracking
asymptotic stability,Asymptotic stability
roads,Roads
adaptive neural networks (nns) control,Adaptive neural networks (NNs) control
compound tracking control,compound tracking control
distributed cooperative control,distributed cooperative control
platoon stability,platoon stability
vehicle platoon systems,vehicle platoon systems
dual-band,Dual-band
dual-polarized,dual-polarized
online medical consultation,Online medical consultation
knowledge incompatibility,Knowledge incompatibility
communication style differences,Communication style differences
physician contribution behavior,Physician contribution behavior
perceived value,Perceived value
defect classification,Defect classification
robust linear classification,Robust linear classification
low rank recovery,Low rank recovery
numerical stability,numerical stability
periodic piecewise systems,periodic piecewise systems
time-varying lyapunov matrix,time-varying Lyapunov matrix
matrix polynomial,matrix polynomial
analysis synthesis,analysis synthesis
complex dynamical networks,Complex dynamical networks
non-dissipatively coupled,Non-dissipatively coupled
similar nodes,Similar nodes
delayed coupling,Delayed coupling
fixed point,Fixed point
nonexpansive semigroup,Nonexpansive semigroup
uniformly convex banach space,Uniformly convex Banach space
uniformly gateaux differentiable,Uniformly Gateaux differentiable
power demand,Power demand
parallel processing,parallel processing
image coding,image coding
attention fusion,Attention fusion
amplify-and-forward (af),Amplify-and-forward (AF)
half-duplex (hd),half-duplex (HD)
dual-functional radar and communication (dfrc),dual-functional radar and communication (DFRC)
majorization minimization (mm),majorization minimization (MM)
adaptive consensus control,adaptive consensus control
time-delay,Time-delay
unmeasurable states,unmeasurable states
perturbation methods,Perturbation methods
periodic piecewise system,Periodic piecewise system
non-fragile control,Non-fragile control
extended dissipative control,extended dissipative control
non-diffusively coupled,Non-diffusively coupled
delay-dependent,Delay-dependent
cross validation,Cross Validation
min-max normalization,Min-Max Normalization
max normalization,Max Normalization
sufficient conditions,Sufficient Conditions
extensible algorithm,Extensible Algorithm
intelligent reasoning,Intelligent Reasoning
intelligent diagnosis of tcm,Intelligent Diagnosis of TCM
topological semimetal,Topological semimetal
nbn quantum dots,NbN quantum dots
mode-locking,mode-locking
photosensitizers,Photosensitizers
singlet oxygen quantum yield,Singlet oxygen quantum yield
quantum chemistry,Quantum chemistry
photodynamic therapy,Photodynamic therapy
taxi demand forecasting,Taxi demand forecasting
multimodal message passing mechanism,Multimodal message passing mechanism
closed loop systems,Closed loop systems
actuator attacks,Actuator attacks
adaptive neural sliding mode control (smc),adaptive neural sliding mode control (SMC)
markov jump systems (mjss),Markov jump systems (MJSs)
partially unknown transition probabilities (tps),partially unknown transition probabilities (TPs)
sub-wavelength,Sub-wavelength
mim waveguide,MIM waveguide
multi-domain adaptive,multi-domain adaptive
structural similarity matrix,structural similarity matrix
embedded system,embedded system
bitonic sort,bitonic sort
parallel computing,Parallel computing
digital subtraction angiography,Digital subtraction angiography
cerebrovascular segmentation,Cerebrovascular segmentation
mamba,Mamba
spatio-temporal feature fusion,Spatio-temporal feature fusion
chinese character glyph,Chinese character glyph
interactive fusion,interactive fusion
crossmodal attention,crossmodal attention
glyph representation,glyph representation
random,random
network's reward,network's reward
information extraction,Information extraction
multi-granularity interweave,Multi-granularity interweave
mutual attention,Mutual attention
implicit positive sample contrastive learning,Implicit positive sample contrastive learning
extremely large-scale multiple -input multiple output,Extremely large-scale multiple -input multiple output
hybrid -field,hybrid -field
ai digital guide,AI digital guide
language awareness,language awareness
psychological distance,psychological distance
emotional resonance,emotional resonance
museum experience,museum experience
processor scheduling,Processor scheduling
scheduling,scheduling
time factors,Time factors
scheduling algorithms,Scheduling algorithms
deep neural network (dnn) inference,Deep neural network (DNN) inference
hysteresis,hysteresis
large-scale systems,Large-scale systems
adaptive neural-network (nn) control,Adaptive neural-network (NN) control
full-state constraints,full-state constraints
large-scale systems (lsss),large-scale systems (LSSs)
unknown hysteresis,unknown hysteresis
sparse component analysis,Sparse component analysis
generalized spherical coordinate transformation,generalized spherical coordinate transformation
hyperplane clustering,hyperplane clustering
message passing,message passing
probabilistic logic,Probabilistic logic
distributed average consensus,Distributed average consensus
wireless sensor network (wsn),wireless sensor network (WSN)
robust model predictive control,Robust Model Predictive Control
vehicle platoon,Vehicle Platoon
lateral control,Lateral Control
string stability,String Stability
robust non-zero-sum game,Robust non-zero-sum game
asset allocation,Asset allocation
ambiguity,Ambiguity
hamilton-jacobi-bellman-isaacs (hjbi) equation,Hamilton-Jacobi-Bellman-Isaacs (HJBI) equation
keller-segel-navier-stokes system,Keller-Segel-Navier-Stokes system
singular limit,singular limit
well-posedness,well-posedness
boundary-guided,boundary-guided
colorectal cancer (crc),colorectal cancer (CRC)
encoder-decoder,encoder-decoder
polyp image segmentation,polyp image segmentation
rbm,RBM
servers,Servers
collaboration,Collaboration
edge inference,Edge inference
long-term utility optimization,long-term utility optimization
chaotic systems,Chaotic systems
generalized synchronization,Generalized Synchronization
uncertainties,Uncertainties
different dimensions,Different dimensions
modified ishikawa iteration sequence with errors,modified Ishikawa iteration sequence with errors
strongly successively pseudocontractive mapping,strongly successively pseudocontractive mapping
uniformly lipschitzian mapping,uniformly Lipschitzian mapping
almost t-stability,almost T-stability
weak t-stability,weak T-stability
markov jump neural networks,Markov jump neural networks
quasi-synchronization,Quasi-synchronization
hidden markov model,Hidden Markov Model
flow production,Flow production
periodic piecewise linear systems,Periodic piecewise linear systems
glipizide,Glipizide
polymorphs,Polymorphs
amorphous state,Amorphous state
solid-state transformations,Solid-state transformations
dynamic environment,Dynamic environment
dynamic object,Dynamic object
human detection,Human detection
geometric constraints,Geometric constraints
basalt fiber-reinforced polymer,basalt fiber-reinforced polymer
durability,Durability
prestress,prestress
seawater,seawater
seawater sea-sand geopolymer mortar,seawater sea-sand geopolymer mortar
shear performance,shear performance
big data capabilities,Big data capabilities
product innovation,Product innovation
business model innovation,Business model innovation
government support,Government support
data governance,Data governance
channel allocation,Channel allocation
data processing,Data processing
drl,DRL
task processing,task processing
vehicular edge comp- uting networks,vehicular edge comp- uting networks
circularly polarization,Circularly polarization
circularly polarized modes,circularly polarized modes
nir,NIR
luminescence,Luminescence
network converter,Network converter
additional voltage pumping,Additional voltage pumping
switch-diode network,Switch-diode network
high step-up converter,High step-up converter
terahertz metasurfaces,terahertz metasurfaces
inverse design,inverse design
deep neural networks,Deep neural networks
shade algorithm,SHADE algorithm
electromagnetic optimization,electromagnetic optimization
tunable metamaterials,tunable metamaterials
graph robustness,graph robustness
kirchhoff index,Kirchhoff index
effective graph resistance,Effective graph resistance
graph sampling,Graph sampling
cut vertex,Cut vertex
resistance distance,Resistance distance
nikseresht's conjecture,Nikseresht's conjecture
ai-generated advertisements,AI-generated advertisements
aigc,AIGC
perceived eeriness,perceived eeriness
perceived intelligence,perceived intelligence
electromyography,Electromyography
convolution,Convolution
brain modeling,Brain modeling
electromyography (emg) removal,Electromyography (EMG) removal
single-channel electroencephalogram (eeg),single-channel electroencephalogram (EEG)
temporal convolutional network,Temporal convolutional network
pmlsm,PMLSM
afsa-bp,AFSA-BP
pid parameter tuning,PID Parameter Tuning
shape memory alloy,shape memory alloy
mathematical model,Mathematical model
shape memory effect,Shape memory effect
anonymous customer,anonymous customer
clickstream,clickstream
product tendency,product tendency
product popularity,product popularity
single-classification support vector machine,single-classification support vector machine
personnel safety status detection,personnel safety status detection
tunnel construction,tunnel construction
ocsvm model,OCSVM model
ga,GA
feedforward control,Feedforward control
permanent magnet linear motor,Permanent magnet linear motor
uav-enabled mobile edge computing system,UAV-enabled mobile edge computing system
wireless-powered,Wireless-powered
markov decision process,Markov Decision Process
hybrid-time-carrier index,Hybrid-time-carrier index
noise-reduction,noise-reduction
differential chaos shift keying,differential chaos shift keying
chaotic communication,chaotic communication
sustainable development,sustainable development
competition strategy innovation,competition strategy innovation
strategic flexibility,strategic flexibility
linear adrc,linear ADRC
yaw,yaw
control,control
attitude angle,attitude angle
fecg,FECG
cluster analysis,Cluster Analysis
source number estimation,source number estimation
distributed power,Distributed Power
space vector modulation,space vector modulation
grid-connected,Grid-connected
minimally invasive surgery (mis),minimally invasive surgery (MIS)
least squares support vector machines(ls-svm),least squares support vector machines(LS-SVM)
multi-layer perceptron(mlp),multi-layer perceptron(MLP)
hand tremor,hand tremor
fuzzy neural networks,fuzzy neural networks
robotic control,robotic control
robust control,robust control
inverse system method,inverse system method
extension detecting,extension detecting
basic matter-element detecting,basic matter-element detecting
extension matter-element,extension matter-element
exponentially stability,exponentially stability
composite current collector,composite current collector
electroless copper plating,electroless copper plating
glyoxylic acid,glyoxylic acid
palladium-free catalysis,palladium-free catalysis
age-specific effect,age-specific effect
cognitive intervention,cognitive intervention
hand hygiene,hand hygiene
nudge theory,nudge theory
primary school,primary school
situational intervention,situational intervention
visual cues,visual cues
industrial structure upgrading,industrial structure upgrading
financial agglomeration,financial agglomeration
human capital levels,human capital levels
resilience of the ai industry chain,resilience of the AI industry chain
high-frequency oscillation,High-frequency oscillation
multivariate features,Multivariate features
logistic regression,Logistic regression
receivers,Receivers
buildings,Buildings
relays,Relays
cooperative communication,Cooperative communication
urban areas,Urban areas
spectrum sensing,Spectrum sensing
aavs,AAVs
polypropylene,Polypropylene
wood flour,Wood flour
compatibilizer,Compatibilizer
interfacial modification,Interfacial modification
solid phase graft copolymerization,Solid phase graft copolymerization
digital distance protection,Digital distance protection
python,Python
pscad,PSCAD
transformer low voltage side faults,Transformer low voltage side faults
remote backup protection,Remote backup protection
power system protection,Power system protection
low-noise amplifier (lna),low-noise amplifier (LNA)
bulk isolation,bulk isolation
electricity price forecasting,Electricity price forecasting
spatio-temporal forecasting algorithm,spatio-temporal forecasting algorithm
packaging equipment,packaging equipment
xy motion platform,XY motion platform
ladrc,LADRC
lithium-ion batteries,lithium-ion batteries
thermal mode,thermal mode
spectral methods,spectral methods
broad learning system (bls),Broad learning system (BLS)
recreational walking,recreational walking
transport walking,transport walking
elderly,elderly
guangzhou,Guangzhou
radial distribution system,Radial distribution system
distribution network reconfiguration,Distribution network reconfiguration
time period,Time period
scenarios,Scenarios
k-means algorithm,K-means Algorithm
time interval,Time interval
complexity theory,Complexity theory
coprognosability,Coprognosability
decentralized fault prognosis,decentralized fault prognosis
reliable coprognosability,reliable coprognosability
stochastic automata,stochastic automata
auxiliary unit,Auxiliary unit
selective harmonic suppression,Selective harmonic suppression
reactive compensation,Reactive compensation
civil distribution networks,Civil distribution networks
tcm data analysis,TCM data analysis
deep feature learning,deep feature learning
unsupervised learning,unsupervised learning
reading pointer instrument,reading pointer instrument
mobile shopping,mobile shopping
user adoption,user adoption
continuance intention,continuance intention
flex ma,Flex MA
rapid development,rapid development
flex framework,Flex framework
fingerprint classification,fingerprint classification
global geometric shape,global geometric shape
singularity,singularity
time series,time series
trend forecasting,trend forecasting
rules,rules
chaotic generator,chaotic generator
double-layer double spiral,double-layer double spiral
double-layer single spiral,double-layer single spiral
circuit experiment,circuit experiment
perceptron,perceptron
vhdl,VHDL
top-down,Top-Down
manufacturing big data,Manufacturing Big Data
workshop production scheduling,Workshop Production Scheduling
data modeling,Data Modeling
asynchronous filtering,asynchronous filtering
event-triggered scheme,event-triggered scheme
interval gain uncertainty,interval gain uncertainty
fano resonances,Fano resonances
interval type-2 fuzzy model,Interval type-2 fuzzy model
uncertain electric vehicle systems,Uncertain electric vehicle systems
sensor failures,Sensor failures
actuator saturation,Actuator saturation
power battery recycling,power battery recycling
altruistic preferences,altruistic preferences
channel structure,channel structure
brand reputation,brand reputation
pareto improvement,Pareto improvement
hidden semi-markov jump systems,hidden semi-Markov jump systems
mean-square stability,mean-square stability
incomplete emission probability,incomplete emission probability
fractional-order sliding-mode control,fractional-order sliding-mode control
bubble-sort star graph,Bubble-sort star graph
hamiltonian laceable,Hamiltonian laceable
hyper hamiltonian laceable,Hyper Hamiltonian laceable
fault-tolerant hyper hamiltonian laceable,Fault-tolerant hyper Hamiltonian laceable
reaction-diffusion pdes,Reaction-diffusion PDEs
finite-time group consensus,Finite-time group consensus
impulsive effects,impulsive effects
blind super-resolution,blind super-resolution
frequency domain-based discriminative gated network,frequency domain-based discriminative gated network
dual-branch neural network,dual-branch neural network
frequency domain-based discriminator,frequency domain-based discriminator
wind power producers,Wind power producers
energy reserve market,Energy reserve market
information gap decision theory,Information gap decision theory
capacity strategies,Capacity strategies
signal to noise ratio,Signal to noise ratio
probability,Probability
low-snr,low-SNR
concrete crack detection,Concrete crack detection
feature fusion,feature fusion
multiscale feature extraction,Multiscale feature extraction
inertia estimation,inertia estimation
improved extended kalman filter,improved extended Kalman filter
virtual synchronous machine,virtual synchronous machine
vsg-dominated power system,VSG-dominated power system
time-domain analysis,Time-domain analysis
machine learning algorithms,Machine learning algorithms
fusion feature,fusion feature
gaussian mixture model (gmm),Gaussian mixture model (GMM)
autonomous vehicle systems,autonomous vehicle systems
multi-sensor,multi-sensor
intrinsic calibration,intrinsic calibration
time synchronisation,time synchronisation
mixed norm spaces,Mixed norm spaces
random weighted bergman functions,Random weighted Bergman functions
random power series,Random power series
unsupervised feature selection,unsupervised feature selection
hierarchical regularization,hierarchical regularization
snse2,SnSe2
nanosheets,Nanosheets
sodium ion batteries,Sodium ion batteries
lncrna,lncRNA
random walk-based multi-similarity fusion,Random walk-based multi-similarity fusion
bidirectional label propagation,Bidirectional label propagation
upper bound,Upper bound
jitter,Jitter
stochastic multi-agent systems,stochastic multi-agent systems
impulse time windows,impulse time windows
leader-following mean square consensus,Leader-following mean square consensus
battery management system,Battery management system
cell balancing,Cell balancing
switched-inductor,switched-inductor
networked control system,Networked control system
packetized,packetized
takagi-sugeno fuzzy model,Takagi-Sugeno fuzzy model
random-delay approach,random-delay approach
university sports,university sports
culture,culture
cultural ecology,cultural ecology
co-system,co-system
service agent,service agent
composite dynamically,composite dynamically
service orchestrate,service orchestrate
batio3 : ce photorefractive crystal,BaTiO3 : Ce photorefractive crystal
bridge mutually pumped phase conjugation,bridge mutually pumped phase conjugation
self-pumped phase conjugation,self-pumped phase conjugation
adaptive learning,Adaptive learning
mixture model,Mixture model
row-wise decomposition,Row-wise decomposition
armijo-inspired step-size,Armijo-inspired step-size
time series clustering,Time series clustering
sensor drift compensation,Sensor drift compensation
nonorthogonal multiple access (noma),nonorthogonal multiple access (NOMA)
spectrum sensing (ss),spectrum sensing (SS)
floorplanning,Floorplanning
rejection-to-acceptance ratio,rejection-to-acceptance ratio
adaptive cooling schedule,adaptive cooling schedule
adaptive local search,adaptive local search
entropy feature,entropy feature
lnms ldpc decoding,LNMS LDPC decoding
cosine similarity,cosine similarity
flash-memory channel,flash-memory channel
market maker,Market maker
inventory risk,Inventory risk
option pricing,option pricing
auxiliary model method,Auxiliary model method
consensus,consensus
non-triviality,non-triviality
hodgkin -huxley neuron model,Hodgkin -Huxley neuron model
membrane capacitor,Membrane capacitor
biomimetic neuromorphic circuit,Biomimetic neuromorphic circuit
chaotic encryption,chaotic encryption
equivalent key,equivalent key
ciphertext feedback,ciphertext feedback
dynamic selection,dynamic selection
leader-following exponential consensus,Leader-following exponential consensus
time-varying delay,Time-varying delay
inverters,Inverters
transistors,Transistors
switching circuits,Switching circuits
stress,Stress
selective harmonic eliminated (she) modulation,selective harmonic eliminated (SHE) modulation
roller kiln,Roller kiln
kalina cycle,Kalina cycle
off-design performance,off-design performance
thermodynamic-economic-environmental analysis,thermodynamic-economic-environmental analysis
low voltage,Low voltage
periodic structures,Periodic structures
pulsewidth modulation (pwm),pulsewidth modulation (PWM)
multi-robot system,multi-robot system
motion planning,motion planning
flocking control,flocking control
energy efficiency improvement,Energy efficiency improvement
r&amp,R&amp
d intensity,D intensity
carbon emissions,Carbon emissions
economic control model,Economic control model
industrial sector,Industrial sector
the high-precision packaging equipment,The high-precision packaging equipment
xy platform,XY platform
spectrum analysis,Spectrum analysis
predictability,predictability
decentralized failure prognosis,decentralized failure prognosis
morphology control,morphology control
niox,NiOx
non-invasive blood glucose monitoring,Non-invasive blood glucose monitoring
heart rate variability,Heart rate variability
singular spectrum analysis,Singular spectrum analysis
denoising,Denoising
detrending,detrending
phishing ap attack,Phishing AP Attack
wifi,WiFi
rssi,RSSI
ntfs,NTFS
file record,File Record
anti-delete,Anti-delete
forensic,Forensic
distributed knowledge management,Distributed Knowledge Management
knowledge integration,knowledge integration
wireless sensor network,wireless sensor network
double bp neural network,Double BP Neural Network
fuzzy wavelet neural network filter (fwnnf),fuzzy wavelet neural network filter (FWNNF)
ill-condition case,ill-condition case
correct solution,correct solution
generalized eigenvalue,generalized eigenvalue
manufacturing process reengineering,manufacturing process reengineering
mass customization,mass customization
manufacturing flexibility,manufacturing flexibility
diamond film,diamond film
polishing,polishing
processing performance,processing performance
electrical discharge machining,electrical discharge machining
deepfake detection,Deepfake detection
hybrid-domain features,Hybrid-domain features
dual-branch backbone,Dual-branch backbone
receiving antennas,Receiving antennas
aav,AAV
data clustering,Data clustering
graph learning,Graph learning
tensor,tensor
legged locomotion,Legged locomotion
odometry,Odometry
foot,Foot
robot sensing systems,Robot sensing systems
laser radar,Laser radar
kinematics,Kinematics
state estimation,state estimation
legged robots,Legged robots
avatar,Avatar
online learning quality,Online learning quality
supervision,Supervision
attention stability,Attention stability
emotion state,Emotion state
learner's satisfaction,Learner's satisfaction
combinatorial optimization,Combinatorial optimization
dominating set problem,Dominating set problem
online wind power forecasting,Online wind power forecasting
external temporal data,External temporal data
parallel network,Parallel network
synchronous training strategy,Synchronous training strategy
deep temporal transfer model,Deep temporal transfer model
power supplies,Power supplies
discharges (electric),Discharges (electric)
bipolar short-pulse,Bipolar short-pulse
dielectric barrier discharge (dbd),Dielectric barrier discharge (DBD)
reticulated tube,Reticulated tube
spherical reticulated shell,Spherical reticulated shell
sphere-filled tube,Sphere-filled tube
axial crushing,Axial crushing
mechanical behaviour,Mechanical behaviour
energy absorption,Energy absorption
4,4
conclusion by experimental mechanical behaviour rts,Conclusion By experimental mechanical behaviour RTs
aluminium alloy investigated,aluminium alloy investigated
the (1) about compression the four different ment curves and deformation t,The (1) About compression The four different ment curves and deformation T
rt and their composite initial transient elastic final compaction peak value,RT and their composite initial transient elastic final compaction peak value
wave deformation modes deformation of t and approximate circular with reticulated pores on the axial static obvious than that (2) about initial efficiency,wave deformation modes deformation of T and approximate circular with reticulated pores on the axial static obvious than that (2) About initial efficiency
energy conservation path,Energy conservation path
energy saving potential,Energy saving potential
contribution share,Contribution share
policy strategies,Policy strategies
iron and steel industry,Iron and steel industry
factored radar stap,Factored radar STAP
robust adaptive beamforming,Robust adaptive beamforming
alternating optimization method,alternating optimization method
bi-quadratic matrix inequality problem,bi-quadratic matrix inequality problem
closed-form solution,closed-form solution
b/s (browser/server) mode,B/S (Browser/Server) Mode
paper construction strategy,Paper Construction Strategy
demand analysis,Demand Analysis
system design,system design
wind tunnel,Wind Tunnel
rotate speed,Rotate Speed
switch,Switch
established angle,Established Angle
angle of attack,Angle of Attack
virtual enterprise,virtual enterprise
partner selection,partner selection
band alignment,Band alignment
2d materials,2D materials
risk probability forecast assessment,Risk probability forecast assessment
monte carlo simulations,Monte Carlo simulations
cyberattacks,Cyberattacks
mobile edge computing (mec),Mobile edge computing (MEC)
intelligent transportation system,intelligent transportation system
age of information (aoi),Age of Information (AoI)
energy consumption optimization,Energy consumption optimization
information sharing,information sharing
manufacturer encroachment,manufacturer encroachment
green products,green products
reselling and agency-selling,reselling and agency-selling
e-nose,E-nose
broad learning system,Broad learning system
interference discrimination,interference discrimination
interference elimination,interference elimination
forecasting of gas concentration,Forecasting of gas concentration
transformer fault evaluation,Transformer fault evaluation
recurrent long short-term memory network,Recurrent long short-term memory network
hierarchical attention network,Hierarchical attention network
energy intensity,Energy intensity
forecast,Forecast
industrial green competitiveness,Industrial green competitiveness
rough set,Rough set
fuzzy artificial neural network,Fuzzy artificial neural network
industrial sectors,Industrial sectors
process mining,Process mining
predictive process analytics,Predictive process analytics
attentional mechanisms,Attentional mechanisms
harmonic current suppression,harmonic current suppression
parameter group optimization,parameter group optimization
pv-storage microgrid,PV-storage microgrid
pso algorithm,PSO algorithm
root causes localization,Root Causes Localization
multi-stage classifier,Multi-stage Classifier
causal alignment,Causal Alignment
foreground augment,Foreground Augment
background attenuation,Background Attenuation
v2x communication,V2X communication
broadcast,broadcast
dynamic spectrum access,dynamic spectrum access
concentrated solar power,Concentrated solar power
